id,name,url
Modern+Masters,Modern Masters,https://www.magiccardmarket.eu/Expansions/Modern+Masters
Modern+Masters+2015,Modern Masters 2015,https://www.magiccardmarket.eu/Expansions/Modern+Masters+2015
Modern+Masters+2017,Modern Masters 2017,https://www.magiccardmarket.eu/Expansions/Modern+Masters+2017
Morningtide,Morningtide,https://www.magiccardmarket.eu/Expansions/Morningtide
Multiverse+Gift+Box,Multiverse Gift Box,https://www.magiccardmarket.eu/Expansions/Multiverse+Gift+Box
Nemesis,Nemesis,https://www.magiccardmarket.eu/Expansions/Nemesis
New+Phyrexia,New Phyrexia,https://www.magiccardmarket.eu/Expansions/New+Phyrexia
Ninth+Edition,Ninth Edition,https://www.magiccardmarket.eu/Expansions/Ninth+Edition
Oath+of+the+Gatewatch,Oath of the Gatewatch,https://www.magiccardmarket.eu/Expansions/Oath+of+the+Gatewatch
Oath+of+the+Gatewatch%3A+Promos,Oath of the Gatewatch: Promos,https://www.magiccardmarket.eu/Expansions/Oath+of+the+Gatewatch%3A+Promos
Odyssey,Odyssey,https://www.magiccardmarket.eu/Expansions/Odyssey
Onslaught,Onslaught,https://www.magiccardmarket.eu/Expansions/Onslaught
Open+House+Promos,Open House Promos,https://www.magiccardmarket.eu/Expansions/Open+House+Promos
Oversized+6x9+Promos,Oversized 6x9 Promos,https://www.magiccardmarket.eu/Expansions/Oversized+6x9+Promos
Oversized+9x12+Promos,Oversized 9x12 Promos,https://www.magiccardmarket.eu/Expansions/Oversized+9x12+Promos
Oversized+Box+Toppers,Oversized Box Toppers,https://www.magiccardmarket.eu/Expansions/Oversized+Box+Toppers
Perfektpro+Products,Perfektpro Products,https://www.magiccardmarket.eu/Expansions/Perfektpro+Products
Planar+Chaos,Planar Chaos,https://www.magiccardmarket.eu/Expansions/Planar+Chaos
Planechase,Planechase,https://www.magiccardmarket.eu/Expansions/Planechase
Planechase+2012,Planechase 2012,https://www.magiccardmarket.eu/Expansions/Planechase+2012
Planechase+Anthology,Planechase Anthology,https://www.magiccardmarket.eu/Expansions/Planechase+Anthology
Planeshift,Planeshift,https://www.magiccardmarket.eu/Expansions/Planeshift
Player+Rewards+Promos,Player Rewards Promos,https://www.magiccardmarket.eu/Expansions/Player+Rewards+Promos
Portal,Portal,https://www.magiccardmarket.eu/Expansions/Portal
Portal+Second+Age,Portal Second Age,https://www.magiccardmarket.eu/Expansions/Portal+Second+Age
Portal+Three+Kingdoms,Portal Three Kingdoms,https://www.magiccardmarket.eu/Expansions/Portal+Three+Kingdoms
Premium+Deck+Series%3A+Fire+%26+Lightning,Premium Deck Series: Fire & Lightning,https://www.magiccardmarket.eu/Expansions/Premium+Deck+Series%3A+Fire+%26+Lightning
Premium+Deck+Series%3A+Graveborn,Premium Deck Series: Graveborn,https://www.magiccardmarket.eu/Expansions/Premium+Deck+Series%3A+Graveborn
Premium+Deck+Series%3A+Slivers,Premium Deck Series: Slivers,https://www.magiccardmarket.eu/Expansions/Premium+Deck+Series%3A+Slivers
Prerelease+Promos,Prerelease Promos,https://www.magiccardmarket.eu/Expansions/Prerelease+Promos
Pro+Tour+1996%3A+Bertrand+Lestree,Pro Tour 1996: Bertrand Lestree,https://www.magiccardmarket.eu/Expansions/Pro+Tour+1996%3A+Bertrand+Lestree
Pro+Tour+1996%3A+Collector+Set,Pro Tour 1996: Collector Set,https://www.magiccardmarket.eu/Expansions/Pro+Tour+1996%3A+Collector+Set
Pro+Tour+1996%3A+Eric+Tam,Pro Tour 1996: Eric Tam,https://www.magiccardmarket.eu/Expansions/Pro+Tour+1996%3A+Eric+Tam
Pro+Tour+1996%3A+George+Baxter,Pro Tour 1996: George Baxter,https://www.magiccardmarket.eu/Expansions/Pro+Tour+1996%3A+George+Baxter
Pro+Tour+1996%3A+Leon+Lindback,Pro Tour 1996: Leon Lindback,https://www.magiccardmarket.eu/Expansions/Pro+Tour+1996%3A+Leon+Lindback
Pro+Tour+1996%3A+Mark+Justice,Pro Tour 1996: Mark Justice,https://www.magiccardmarket.eu/Expansions/Pro+Tour+1996%3A+Mark+Justice
Pro+Tour+1996%3A+Michael+Locanto,Pro Tour 1996: Michael Locanto,https://www.magiccardmarket.eu/Expansions/Pro+Tour+1996%3A+Michael+Locanto
Pro+Tour+1996%3A+Preston+Poulter,Pro Tour 1996: Preston Poulter,https://www.magiccardmarket.eu/Expansions/Pro+Tour+1996%3A+Preston+Poulter
Pro+Tour+1996%3A+Shawn+Regnier,Pro Tour 1996: Shawn Regnier,https://www.magiccardmarket.eu/Expansions/Pro+Tour+1996%3A+Shawn+Regnier
Pro+Tour+Promos,Pro Tour Promos,https://www.magiccardmarket.eu/Expansions/Pro+Tour+Promos
Promos,Promos,https://www.magiccardmarket.eu/Expansions/Promos
Prophecy,Prophecy,https://www.magiccardmarket.eu/Expansions/Prophecy
Ravnica%3A+City+of+Guilds,Ravnica: City of Guilds,https://www.magiccardmarket.eu/Expansions/Ravnica%3A+City+of+Guilds
Release+Promos,Release Promos,https://www.magiccardmarket.eu/Expansions/Release+Promos
Renaissance,Renaissance,https://www.magiccardmarket.eu/Expansions/Renaissance
Resale+Promos,Resale Promos,https://www.magiccardmarket.eu/Expansions/Resale+Promos
Return+to+Ravnica,Return to Ravnica,https://www.magiccardmarket.eu/Expansions/Return+to+Ravnica
Revised,Revised,https://www.magiccardmarket.eu/Expansions/Revised
Revista+Serra+Promos,Revista Serra Promos,https://www.magiccardmarket.eu/Expansions/Revista+Serra+Promos
Rinascimento,Rinascimento,https://www.magiccardmarket.eu/Expansions/Rinascimento
Rise+of+the+Eldrazi,Rise of the Eldrazi,https://www.magiccardmarket.eu/Expansions/Rise+of+the+Eldrazi
Rivals+of+Ixalan,Rivals of Ixalan,https://www.magiccardmarket.eu/Expansions/Rivals+of+Ixalan
Rk+post+Products,Rk post Products,https://www.magiccardmarket.eu/Expansions/Rk+post+Products
Salvat-Hachette,Salvat-Hachette,https://www.magiccardmarket.eu/Expansions/Salvat-Hachette
Salvat-Hachette+2011,Salvat-Hachette 2011,https://www.magiccardmarket.eu/Expansions/Salvat-Hachette+2011
San+Diego+Comic-Con+2013+Promos,San Diego Comic-Con 2013 Promos,https://www.magiccardmarket.eu/Expansions/San+Diego+Comic-Con+2013+Promos
San+Diego+Comic-Con+2014+Promos,San Diego Comic-Con 2014 Promos,https://www.magiccardmarket.eu/Expansions/San+Diego+Comic-Con+2014+Promos
San+Diego+Comic-Con+2015+Promos,San Diego Comic-Con 2015 Promos,https://www.magiccardmarket.eu/Expansions/San+Diego+Comic-Con+2015+Promos
San+Diego+Comic-Con+2016+Promos,San Diego Comic-Con 2016 Promos,https://www.magiccardmarket.eu/Expansions/San+Diego+Comic-Con+2016+Promos
San+Diego+Comic-Con+2017+Promos,San Diego Comic-Con 2017 Promos,https://www.magiccardmarket.eu/Expansions/San+Diego+Comic-Con+2017+Promos
Saviors+of+Kamigawa,Saviors of Kamigawa,https://www.magiccardmarket.eu/Expansions/Saviors+of+Kamigawa
Scars+of+Mirrodin,Scars of Mirrodin,https://www.magiccardmarket.eu/Expansions/Scars+of+Mirrodin
Scourge,Scourge,https://www.magiccardmarket.eu/Expansions/Scourge
