eur;name;id;condition;usd;set;isFoil;idLanguage;count
0.22;Arcane Melee;270993;NM;0.31;Avacyn Restored;False;1;3
0.66;Arcane Sanctum;376247;NM;0.49;Commander 2013;False;1;1
0.2;Arcane Sanctum;426053;NM;0.44;Modern Masters 2017 Edition;True;1;2
0.35;Arcane Sanctum;175128;NM;0.49;Shards of Alara;False;1;1
0.22;Arcbond;391793;NM;0.25;Fate Reforged;False;4;2
23.47;Arcbound Ravager;50943;NM;37.51;Darksteel;False;1;4
0.08;Arcbound Worker;48604;NM;0.14;Darksteel;True;1;1
0.13;Archaeomancer;265722;NM;0.15;Magic 2013;False;1;1
0.1;Archaeomancer;370753;NM;0.16;Magic 2014 Core Set;False;4;2
0.1;Archaeomancer;370753;NM;0.16;Magic 2014 Core Set;True;1;1
0.1;Archaeomancer;370753;NM;0.16;Magic 2014 Core Set;False;1;5
0.39;Archangel;3708;NM;0.35;Visions;False;1;2
0.39;Archangel;3708;NM;0.35;Visions;False;4;1
0.5;Archangel of Strife;228246;NM;0.79;Commander;False;1;1
13.7;Archangel of Thune;370627;NM;14.99;Magic 2014 Core Set;False;4;1
0.17;Archdemon of Unx;174847;NM;0.33;Shards of Alara;False;1;2
0.63;Archetype of Courage;378376;NM;0.69;Born of the Gods;False;4;1
0.63;Archetype of Courage;378376;NM;0.69;Born of the Gods;True;4;1
0.41;Archetype of Endurance;378488;NM;0.69;Born of the Gods;False;1;2
0.41;Archetype of Endurance;378488;NM;0.69;Born of the Gods;False;4;1
0.33;Archfiend of Depravity;391795;NM;0.71;Fate Reforged;True;1;1
0.35;Architects of Will;179597;NM;0.25;Alara Reborn;False;4;1
0.35;Architects of Will;179597;NM;0.25;Alara Reborn;False;1;3
6.19;Archive Trap;197538;NM;7.16;Zendikar;False;1;1
0.35;Archivist;12390;NM;0.32;Urza's Legacy;False;1;1
0.35;Archivist;12390;NM;0.32;Urza's Legacy;True;1;1
0.31;Archivist;45268;NM;0.33;Eighth Edition;False;4;1
0.43;Archmage Ascension;197893;NM;0.99;Zendikar;False;1;2
0.4;Archon of Justice;146006;NM;0.35;Eventide;False;1;1
0.26;Archon of Justice;244828;NM;0.34;Magic 2012;False;1;2
0.26;Archon of Justice;244828;NM;0.34;Magic 2012;False;4;2
0.17;Archon of Redemption;201575;NM;0.29;Worldwake;False;1;1
0.12;Archon of the Triumvirate;253603;NM;0.26;Return to Ravnica;False;1;1
0.02;Archweaver;253601;NM;0.17;Return to Ravnica;False;4;3
0.02;Archweaver;253601;NM;0.17;Return to Ravnica;False;1;9
0.45;Archwing Dragon;278063;NM;0.35;Avacyn Restored;False;1;2
5.83;Arcum Dagsson;122124;NM;9.99;Coldsnap;False;4;1
0.49;Ardent Plea;185054;NM;0.35;Alara Reborn;False;1;6
0.03;Arena Athlete;373585;NM;0.16;Theros;False;1;7
0.03;Arena Athlete;373585;NM;0.16;Theros;False;4;5
21.08;Arena of the Ancients;1400;NM;9.99;Legends;False;1;2
0.37;Argentum Armor;217967;NM;0.69;Scars of Mirrodin;False;4;2
0.37;Argentum Armor;217967;NM;0.69;Scars of Mirrodin;True;1;1
5.77;Argothian Enchantress;5686;NM;5.99;Urza's Saga;False;4;2
5.77;Argothian Enchantress;5686;NM;5.99;Urza's Saga;False;1;2
0.54;Argothian Wurm;5769;NM;0.77;Urza's Saga;False;4;2
0.91;Armada Wurm;253587;NM;0.79;Return to Ravnica;False;1;1
0.29;Armadillo Cloak;23164;NM;0.31;Invasion;True;1;1
0.29;Armadillo Cloak;23164;NM;0.31;Invasion;False;1;1
0.29;Armadillo Cloak;23164;NM;0.31;Invasion;False;4;3
2.96;Armageddon;1328;NM;2.98;Revised Edition;False;1;3
1.91;Armageddon;2320;NM;2.64;Fourth Edition;False;4;1
1.97;Armageddon;4104;NM;2.87;Fifth Edition;False;1;1
0.21;Armament Master;190420;NM;0.29;Zendikar;False;1;2
0.08;Armillary Sphere;137936;NM;0.16;Conflux;False;1;9
0.08;Armillary Sphere;137936;NM;0.16;Conflux;True;1;1
0.1;Armored Ascension;204997;NM;0.2;Magic 2011;True;4;1
0.7;Armory Automaton;420668;NM;0.85;Commander 2016;False;1;1
0.03;Armory Guard;253570;NM;0.12;Return to Ravnica;False;1;15
1.01;Army of the Damned;376250;NM;1.99;Commander 2013;False;4;1
1.05;Army of the Damned;229968;NM;2.22;Innistrad;False;4;1
0.03;Arrest;48432;NM;0.13;Mirrodin;True;1;1
0.03;Arrest;253573;NM;0.18;Return to Ravnica;False;1;4
0.53;Arrogant Wurm;12623;NM;0.45;Torment;True;1;1
0.02;Arrow Storm;386481;NM;0.12;Khans of Tarkir;True;1;1
0.28;Artful Dodge;262840;NM;0.19;Dark Ascension;False;4;1
0.5;Artifact Mutation;420796;NM;0.49;Commander 2016;False;1;1
0.69;Artifact Mutation;23195;NM;1.57;Invasion;False;4;1
0.04;Artificer's Epiphany;398462;NM;0.13;Magic Origins;True;1;1
0.19;Artificial Evolution;39923;NM;0.35;Onslaught;False;1;1
0.17;Artisan of Forms;373742;NM;0.25;Theros;False;1;1
;Artisan of Kozilek;1000425;NM;;Friday Night Magic;True;1;1
0.7;Artisan of Kozilek;220553;NM;0.99;Archenemy;False;1;1
0.26;Artisan of Kozilek;397777;NM;0.35;Modern Masters 2015 Edition;True;1;1
0.46;Artisan of Kozilek;193429;NM;0.35;Rise of the Eldrazi;False;4;1
0.02;Artisan's Sorrow;373506;NM;0.18;Theros;False;4;7
0.02;Artisan's Sorrow;373506;NM;0.18;Theros;False;1;7
5.31;As Foretold;426744;NM;9.99;Amonkhet;False;4;1
0.8;Ascendant Evincar;22897;NM;0.84;Nemesis;False;4;2
5.13;Asceticism;215082;NM;10.09;Scars of Mirrodin;True;1;1
5.13;Asceticism;215082;NM;10.09;Scars of Mirrodin;False;4;1
2.66;Ash Barrens;420673;NM;3.49;Commander 2016;False;1;2
0.36;Ash Zealot;253623;NM;0.35;Return to Ravnica;False;1;1
1.21;Ashen Rider;373689;NM;0.89;Theros;False;1;1
